county.ind,state.county,yr,wk,diffGDD.9403
1,17007,2004,20,-51.6006
1,17007,2004,21,-67.9762
1,17007,2004,22,-83.83
1,17007,2004,23,-87.579
1,17007,2004,24,-115.9247
1,17007,2005,16,40.5802
1,17007,2005,17,36.9019
1,17007,2005,18,68.8147
1,17007,2005,19,52.804
1,17007,2005,20,64.7524
1,17007,2005,21,69.7788
1,17007,2005,22,70.568
1,17007,2005,23,90.759
1,17007,2005,24,100.5983
1,17007,2006,16,22.0532
1,17007,2006,17,16.0809
1,17007,2006,18,-2.6083
1,17007,2006,19,-13.402
1,17007,2006,20,-8.9706
1,17007,2006,21,-12.4682
1,17007,2006,22,-0.932
1,17007,2006,23,27.866
1,17007,2006,24,25.6783
1,17007,2007,16,87.4252
1,17007,2007,17,73.4099
1,17007,2007,18,62.5107
1,17007,2007,19,61.262
1,17007,2007,20,52.8064
1,17007,2007,21,37.0598
1,17007,2007,22,33.706
1,17007,2007,23,37.885
1,17007,2007,24,58.0333
1,17007,2008,16,-3.1368
1,17007,2008,17,-25.5941
1,17007,2008,18,-40.8303
1,17007,2008,19,-60.168
1,17007,2008,20,-64.2686
1,17007,2008,21,-65.6822
1,17007,2008,22,-78.674
1,17007,2008,23,-76.059
1,17007,2008,24,-85.4157
1,17007,2009,16,-24.9808
1,17007,2009,17,-16.7731
1,17007,2009,18,-13.7583
1,17007,2009,19,-42.007
1,17007,2009,20,-60.9056
1,17007,2009,21,-102.4782
1,17007,2009,22,-117.389
1,17007,2009,23,-139.314
1,17007,2009,24,-142.4127
1,17007,2010,16,50.2322
1,17007,2010,17,51.8979
1,17007,2010,18,37.0937
1,17007,2010,19,44.294
1,17007,2010,20,54.8374
1,17007,2010,21,56.0228
1,17007,2010,22,62.338
1,17007,2010,23,62.976
1,17007,2010,24,75.7483
1,17007,2011,16,25.8882
1,17007,2011,17,16.1559
1,17007,2011,18,-1.5283
1,17007,2011,19,6.176
1,17007,2011,20,13.2354
1,17007,2011,21,49.1918
1,17007,2011,22,60.541
1,17007,2011,23,78.747
1,17007,2011,24,77.0613
1,17007,2012,16,81.7552
1,17007,2012,17,117.1279
1,17007,2012,18,114.8607
1,17007,2012,19,155.909
1,17007,2012,20,171.3544
1,17007,2012,21,181.7808
1,17007,2012,22,201.826
1,17007,2012,23,217.069
1,17007,2012,24,212.8283
1,17007,2013,16,23.1222
1,17007,2013,17,15.2079
1,17007,2013,18,4.4357
1,17007,2013,19,-6.683
1,17007,2013,20,-3.1566
1,17007,2013,21,28.8068
1,17007,2013,22,4.967
1,17007,2013,23,-20.119
1,17007,2013,24,-31.0857
1,17007,2014,16,26.5542
1,17007,2014,17,22.9829
1,17007,2014,18,19.4427
1,17007,2014,19,1.413
1,17007,2014,20,-8.7906
1,17007,2014,21,-42.7952
1,17007,2014,22,-61.976
1,17007,2014,23,-75.791
1,17007,2014,24,-83.0347
1,17007,2015,16,35.6802
1,17007,2015,17,22.2819
1,17007,2015,18,-5.1963
1,17007,2015,19,-32.86
1,17007,2015,20,-43.2516
1,17007,2015,21,-56.3642
1,17007,2015,22,-55.226
1,17007,2015,23,-61.427
1,17007,2015,24,-66.4577
1,17007,2016,16,41.6942
1,17007,2016,17,36.2779
1,17007,2016,18,24.1717
1,17007,2016,19,11.53
1,17007,2016,20,19.0634
1,17007,2016,21,6.0598
1,17007,2016,22,34.76
1,17007,2016,23,34.328
1,17007,2016,24,41.3543
1,17007,2017,16,64.4462
1,17007,2017,17,49.1149
1,17007,2017,18,15.8657
1,17007,2017,19,12.457
1,17007,2017,20,6.2724
1,17007,2017,21,-5.9972
1,17007,2017,22,-15.67
1,17007,2017,23,-28.528
1,17007,2017,24,-41.4387
1,17007,2018,16,87.9172
1,17007,2018,17,76.0359
1,17007,2018,18,105.3407
1,17007,2018,19,106.272
1,17007,2018,20,114.4224
1,17007,2018,21,96.9358
1,17007,2018,22,82.142
1,17007,2018,23,72.856
1,17007,2018,24,76.0823
2,17011,1994,16,51.7541
2,17011,1994,17,62.737
2,17011,1994,18,50.5663
2,17011,1994,19,63.2522
2,17011,1994,20,53.8232
2,17011,1994,21,44.066
2,17011,1994,22,33.473
2,17011,1994,23,20.3229
2,17011,1994,24,-10.1454
2,17011,1995,16,-20.7779
2,17011,1995,17,12.565
2,17011,1995,18,5.3293
2,17011,1995,19,-21.1498
2,17011,1995,20,2.6392
2,17011,1995,21,4.659
2,17011,1995,22,14.293
2,17011,1995,23,37.2409
2,17011,1995,24,59.4566
2,17011,1996,16,-64.9439
2,17011,1996,17,-68.993
2,17011,1996,18,-67.4757
2,17011,1996,19,-79.3848
2,17011,1996,20,-93.1518
2,17011,1996,21,-103.818
2,17011,1996,22,-126.387
2,17011,1996,23,-146.9201
2,17011,1996,24,-131.5994
2,17011,1997,16,-67.2889
2,17011,1997,17,-61.951
2,17011,1997,18,-55.4957
2,17011,1997,19,-81.1988
2,17011,1997,20,-74.5148
2,17011,1997,21,-53.834
2,17011,1997,22,-42.699
2,17011,1997,23,-31.4591
2,17011,1997,24,-47.8434
2,17011,1998,16,40.8601
2,17011,1998,17,34.78
2,17011,1998,18,65.9343
2,17011,1998,19,59.9252
2,17011,1998,20,62.4822
2,17011,1998,21,68.169
2,17011,1998,22,56.119
2,17011,1998,23,42.3049
2,17011,1998,24,47.5866
2,17011,1999,16,58.3031
2,17011,1999,17,38.269
2,17011,1999,18,34.6883
2,17011,1999,19,46.4302
2,17011,1999,20,38.7092
2,17011,1999,21,54.394
2,17011,1999,22,89.783
2,17011,1999,23,90.8509
2,17011,1999,24,82.6466
2,17011,2000,16,40.7121
2,17011,2000,17,15.753
2,17011,2000,18,-7.4957
2,17011,2000,19,-17.1038
2,17011,2000,20,-7.6708
2,17011,2000,21,-36.861
2,17011,2000,22,-49.922
2,17011,2000,23,-60.9341
2,17011,2000,24,-60.1234
2,17011,2001,16,30.2301
2,17011,2001,17,11.629
2,17011,2001,18,7.9093
2,17011,2001,19,-10.8788
2,17011,2001,20,-12.8328
2,17011,2001,21,-4.478
2,17011,2001,22,5.421
2,17011,2001,23,22.5139
2,17011,2001,24,46.6066
2,17011,2002,16,-32.4009
2,17011,2002,17,9.784
2,17011,2002,18,28.6463
2,17011,2002,19,64.2742
2,17011,2002,20,63.6042
2,17011,2002,21,78.523
2,17011,2002,22,84.574
2,17011,2002,23,100.9309
2,17011,2002,24,94.5466
2,17011,2003,16,-36.4479
2,17011,2003,17,-54.573
2,17011,2003,18,-62.6067
2,17011,2003,19,-24.1658
2,17011,2003,20,-33.0878
2,17011,2003,21,-50.82
2,17011,2003,22,-64.655
2,17011,2003,23,-74.8511
2,17011,2003,24,-81.1314
2,17011,2004,16,66.4931
2,17011,2004,17,39.778
2,17011,2004,18,6.6693
2,17011,2004,19,-3.4878
2,17011,2004,20,-6.4148
2,17011,2004,21,-19.376
2,17011,2004,22,-32.08
2,17011,2004,23,-39.6101
2,17011,2004,24,-70.9484
2,17011,2005,16,60.0341
2,17011,2005,17,59.112
2,17011,2005,18,96.4173
2,17011,2005,19,74.4472
2,17011,2005,20,95.2012
2,17011,2005,21,125.64
2,17011,2005,22,130.121
2,17011,2005,23,157.2609
2,17011,2005,24,174.8566
2,17011,2006,16,26.1591
2,17011,2006,17,13.865
2,17011,2006,18,-3.7447
2,17011,2006,19,-12.7808
2,17011,2006,20,2.4902
2,17011,2006,21,7.735
2,17011,2006,22,22.621
2,17011,2006,23,42.9479
2,17011,2006,24,41.5566
2,17011,2007,16,119.1721
2,17011,2007,17,101.198
2,17011,2007,18,89.2173
2,17011,2007,19,84.0872
2,17011,2007,20,93.2282
2,17011,2007,21,67.845
2,17011,2007,22,62.509
2,17011,2007,23,65.3069
2,17011,2007,24,95.0166
2,17011,2008,16,6.9411
2,17011,2008,17,-13.534
2,17011,2008,18,-24.0877
2,17011,2008,19,-42.5978
2,17011,2008,20,-43.0378
2,17011,2008,21,-41.321
2,17011,2008,22,-53.479
2,17011,2008,23,-49.7711
2,17011,2008,24,-60.8444
2,17011,2009,16,-17.7549
2,17011,2009,17,-7.749
2,17011,2009,18,11.4693
2,17011,2009,19,-19.3438
2,17011,2009,20,-30.8968
2,17011,2009,21,-67.657
2,17011,2009,22,-81.639
2,17011,2009,23,-103.8181
2,17011,2009,24,-105.3774
2,17011,2010,16,51.3231
2,17011,2010,17,53.083
2,17011,2010,18,45.6333
2,17011,2010,19,49.8192
2,17011,2010,20,61.1312
2,17011,2010,21,65.924
2,17011,2010,22,85.338
2,17011,2010,23,87.6809
2,17011,2010,24,112.0466
2,17011,2011,16,64.4501
2,17011,2011,17,47.159
2,17011,2011,18,42.7983
2,17011,2011,19,44.3042
2,17011,2011,20,53.8292
2,17011,2011,21,85.763
2,17011,2011,22,123.687
2,17011,2011,23,159.0309
2,17011,2011,24,157.2866
2,17011,2012,16,93.0951
2,17011,2012,17,122.553
2,17011,2012,18,126.6043
2,17011,2012,19,150.2392
2,17011,2012,20,164.3202
2,17011,2012,21,183.361
2,17011,2012,22,201.223
2,17011,2012,23,235.5409
2,17011,2012,24,228.8466
2,17011,2013,16,12.5601
2,17011,2013,17,5.765
2,17011,2013,18,0.3763
2,17011,2013,19,-15.5828
2,17011,2013,20,-11.6818
2,17011,2013,21,14.595
2,17011,2013,22,-14.661
2,17011,2013,23,-39.3011
2,17011,2013,24,-50.4734
2,17011,2014,16,28.9761
2,17011,2014,17,25.781
2,17011,2014,18,26.0583
2,17011,2014,19,3.7382
2,17011,2014,20,-7.0778
2,17011,2014,21,-37.944
2,17011,2014,22,-61.003
2,17011,2014,23,-78.8831
2,17011,2014,24,-89.0924
2,17011,2015,16,43.2301
2,17011,2015,17,20.779
2,17011,2015,18,-4.2537
2,17011,2015,19,-34.9538
2,17011,2015,20,-46.8558
2,17011,2015,21,-56.903
2,17011,2015,22,-56.341
2,17011,2015,23,-63.9251
2,17011,2015,24,-69.3874
2,17011,2016,16,43.6831
2,17011,2016,17,38.1
2,17011,2016,18,28.9213
2,17011,2016,19,0.8372
2,17011,2016,20,6.8122
2,17011,2016,21,-5.343
2,17011,2016,22,25.76
2,17011,2016,23,25.2459
2,17011,2016,24,29.0766
2,17011,2017,16,68.2881
2,17011,2017,17,52.114
2,17011,2017,18,20.6123
2,17011,2017,19,16.3432
2,17011,2017,20,16.9552
2,17011,2017,21,11.794
2,17011,2017,22,3.825
2,17011,2017,23,-15.5001
2,17011,2017,24,-36.4024
2,17011,2018,16,136.8921
2,17011,2018,17,151.429
2,17011,2018,18,182.0063
2,17011,2018,19,176.3042
2,17011,2018,20,187.0362
2,17011,2018,21,172.935
2,17011,2018,22,154.034
2,17011,2018,23,142.3409
2,17011,2018,24,146.7366
3,17015,1994,16,57.2555
3,17015,1994,17,65.7744
3,17015,1994,18,49.74
3,17015,1994,19,51.9294
3,17015,1994,20,43.0592
3,17015,1994,21,30.5267
3,17015,1994,22,9.314
3,17015,1994,23,0.6831
3,17015,1994,24,-27.2123
3,17015,1995,16,-16.8465
3,17015,1995,17,18.5174
3,17015,1995,18,6.883
3,17015,1995,19,-10.8936
3,17015,1995,20,16.3212
3,17015,1995,21,16.3137
3,17015,1995,22,23.962
3,17015,1995,23,40.1201
3,17015,1995,24,61.1317
3,17015,1996,16,-64.9145
3,17015,1996,17,-68.3666
3,17015,1996,18,-66.61
3,17015,1996,19,-75.2766
3,17015,1996,20,-92.2338
3,17015,1996,21,-106.1053
3,17015,1996,22,-127.822
3,17015,1996,23,-148.9409
3,17015,1996,24,-143.6973
3,17015,1997,16,-46.8035
3,17015,1997,17,-39.8196
3,17015,1997,18,-37.63
3,17015,1997,19,-59.7176
3,17015,1997,20,-60.1638
3,17015,1997,21,-47.0903
3,17015,1997,22,-28.045
3,17015,1997,23,-38.4759
3,17015,1997,24,-47.3183
3,17015,1998,16,34.8455
3,17015,1998,17,30.5874
3,17015,1998,18,61.199
3,17015,1998,19,57.1784
3,17015,1998,20,60.9042
3,17015,1998,21,65.6387
3,17015,1998,22,51.378
3,17015,1998,23,40.8311
3,17015,1998,24,45.0767
3,17015,1999,16,43.7385
3,17015,1999,17,27.9704
3,17015,1999,18,21.199
3,17015,1999,19,29.9704
3,17015,1999,20,22.4282
3,17015,1999,21,37.6087
3,17015,1999,22,66.584
3,17015,1999,23,70.4941
3,17015,1999,24,60.1287
3,17015,2000,16,26.5025
3,17015,2000,17,-0.3066
3,17015,2000,18,-18.632
3,17015,2000,19,-26.1296
3,17015,2000,20,-19.5688
3,17015,2000,21,-43.7133
3,17015,2000,22,-55.27
3,17015,2000,23,-61.9239
3,17015,2000,24,-60.7123
3,17015,2001,16,13.6465
3,17015,2001,17,-6.7866
3,17015,2001,18,-12.913
3,17015,2001,19,-23.0656
3,17015,2001,20,-14.6008
3,17015,2001,21,5.1407
3,17015,2001,22,16.004
3,17015,2001,23,39.4941
3,17015,2001,24,56.5267
3,17015,2002,16,-9.6045
3,17015,2002,17,9.1904
3,17015,2002,18,43.76
3,17015,2002,19,72.9584
3,17015,2002,20,71.7342
3,17015,2002,21,84.9307
3,17015,2002,22,92.162
3,17015,2002,23,112.5691
3,17015,2002,24,111.5377
3,17015,2003,16,-37.8195
3,17015,2003,17,-36.7606
3,17015,2003,18,-46.996
3,17015,2003,19,-16.9536
3,17015,2003,20,-27.8798
3,17015,2003,21,-43.2503
3,17015,2003,22,-48.267
3,17015,2003,23,-54.8509
3,17015,2003,24,-55.4613
3,17015,2004,16,61.1515
3,17015,2004,17,29.5164
3,17015,2004,18,0.369
3,17015,2004,19,-6.0136
3,17015,2004,20,-10.6488
3,17015,2004,21,-21.9273
3,17015,2004,22,-35.9
3,17015,2004,23,-37.8489
3,17015,2004,24,-62.2583
3,17015,2005,16,64.7705
3,17015,2005,17,74.5434
3,17015,2005,18,100.192
3,17015,2005,19,83.5944
3,17015,2005,20,105.2702
3,17015,2005,21,122.2487
3,17015,2005,22,126.457
3,17015,2005,23,149.7471
3,17015,2005,24,171.8277
3,17015,2006,16,27.6095
3,17015,2006,17,15.4214
3,17015,2006,18,-0.337
3,17015,2006,19,-4.7616
3,17015,2006,20,16.5682
3,17015,2006,21,16.8117
3,17015,2006,22,29.551
3,17015,2006,23,54.5301
3,17015,2006,24,54.8897
3,17015,2007,16,110.0685
3,17015,2007,17,95.8794
3,17015,2007,18,84.419
3,17015,2007,19,87.5864
3,17015,2007,20,83.2032
3,17015,2007,21,66.0787
3,17015,2007,22,64.697
3,17015,2007,23,68.3201
3,17015,2007,24,93.6277
3,17015,2008,16,7.7205
3,17015,2008,17,-17.2286
3,17015,2008,18,-30.786
3,17015,2008,19,-37.9366
3,17015,2008,20,-38.0788
3,17015,2008,21,-34.7963
3,17015,2008,22,-45.092
3,17015,2008,23,-37.5489
3,17015,2008,24,-46.3013
3,17015,2009,16,-5.9145
3,17015,2009,17,6.7914
3,17015,2009,18,-0.586
3,17015,2009,19,-26.5896
3,17015,2009,20,-38.0168
3,17015,2009,21,-78.6723
3,17015,2009,22,-94.177
3,17015,2009,23,-111.5499
3,17015,2009,24,-110.8373
3,17015,2010,16,71.8445
3,17015,2010,17,74.1564
3,17015,2010,18,65.378
3,17015,2010,19,72.7114
3,17015,2010,20,83.7602
3,17015,2010,21,89.3387
3,17015,2010,22,100.007
3,17015,2010,23,108.3531
3,17015,2010,24,128.6777
3,17015,2011,16,46.4745
3,17015,2011,17,37.2044
3,17015,2011,18,22.356
3,17015,2011,19,37.4414
3,17015,2011,20,45.1962
3,17015,2011,21,75.3097
3,17015,2011,22,92.94
3,17015,2011,23,120.0971
3,17015,2011,24,122.1677
3,17015,2012,16,90.7785
3,17015,2012,17,118.8404
3,17015,2012,18,116.056
3,17015,2012,19,146.1374
3,17015,2012,20,159.4772
3,17015,2012,21,174.4917
3,17015,2012,22,215.488
3,17015,2012,23,243.3671
3,17015,2012,24,234.8277
3,17015,2013,16,20.0405
3,17015,2013,17,13.7754
3,17015,2013,18,5.103
3,17015,2013,19,-5.0336
3,17015,2013,20,-2.6228
3,17015,2013,21,13.7787
3,17015,2013,22,-11.404
3,17015,2013,23,-33.6329
3,17015,2013,24,-41.6323
3,17015,2014,16,39.9345
3,17015,2014,17,39.0754
3,17015,2014,18,38.302
3,17015,2014,19,21.1944
3,17015,2014,20,9.6172
3,17015,2014,21,-17.6963
3,17015,2014,22,-34.738
3,17015,2014,23,-47.1149
3,17015,2014,24,-54.6023
3,17015,2015,16,29.7635
3,17015,2015,17,9.8404
3,17015,2015,18,-16.074
3,17015,2015,19,-39.6756
3,17015,2015,20,-47.1538
3,17015,2015,21,-49.3803
3,17015,2015,22,-47.131
3,17015,2015,23,-52.1079
3,17015,2015,24,-56.4853
3,17015,2016,16,55.0935
3,17015,2016,17,52.3224
3,17015,2016,18,41.036
3,17015,2016,19,24.0474
3,17015,2016,20,30.5282
3,17015,2016,21,21.9277
3,17015,2016,22,45.964
3,17015,2016,23,49.7611
3,17015,2016,24,57.2727
3,17015,2017,16,61.7345
3,17015,2017,17,48.5404
3,17015,2017,18,16.69
3,17015,2017,19,18.9904
3,17015,2017,20,19.0722
3,17015,2017,21,15.3977
3,17015,2017,22,10.719
3,17015,2017,23,-2.5659
3,17015,2017,24,-14.9073
3,17015,2018,16,138.7955
3,17015,2018,17,133.9684
3,17015,2018,18,147.739
3,17015,2018,19,148.2704
3,17015,2018,20,161.6762
3,17015,2018,21,148.9087
3,17015,2018,22,134.036
3,17015,2018,23,125.6141
3,17015,2018,24,131.6477
4,17019,1994,16,33.8893
4,17019,1994,17,55.0591
4,17019,1994,18,42.9512
4,17019,1994,19,48.2547
4,17019,1994,20,43.4945
4,17019,1994,21,35.2532
4,17019,1994,22,12.9372
4,17019,1994,23,-1.4684
4,17019,1994,24,-20.2699
4,17019,1995,16,-19.0337
4,17019,1995,17,8.0891
4,17019,1995,18,1.0682
4,17019,1995,19,-22.2343
4,17019,1995,20,3.9415
4,17019,1995,21,6.6342
4,17019,1995,22,49.0212
4,17019,1995,23,63.4696
4,17019,1995,24,83.2001
4,17019,1996,16,-34.5337
4,17019,1996,17,-32.1059
4,17019,1996,18,-21.4598
4,17019,1996,19,-27.7543
4,17019,1996,20,-32.6725
4,17019,1996,21,-40.1578
4,17019,1996,22,-60.7828
4,17019,1996,23,-78.4044
4,17019,1996,24,-69.2759
4,17019,1997,16,-88.3687
4,17019,1997,17,-78.2249
4,17019,1997,18,-71.8118
4,17019,1997,19,-92.2213
4,17019,1997,20,-95.8175
4,17019,1997,21,-93.0418
4,17019,1997,22,-72.1008
4,17019,1997,23,-84.1194
4,17019,1997,24,-99.4239
4,17019,1998,16,45.4133
4,17019,1998,17,37.0171
4,17019,1998,18,66.1292
4,17019,1998,19,59.0867
4,17019,1998,20,60.4045
4,17019,1998,21,81.7782
4,17019,1998,22,65.2612
4,17019,1998,23,48.6596
4,17019,1998,24,52.9301
4,17019,1999,16,60.8923
4,17019,1999,17,34.9271
4,17019,1999,18,27.1212
4,17019,1999,19,58.7797
4,17019,1999,20,48.2795
4,17019,1999,21,73.7542
4,17019,1999,22,94.4332
4,17019,1999,23,96.3696
4,17019,1999,24,92.6901
4,17019,2000,16,36.3973
4,17019,2000,17,7.4411
4,17019,2000,18,-12.6028
4,17019,2000,19,-19.8593
4,17019,2000,20,-12.7955
4,17019,2000,21,-43.2598
4,17019,2000,22,-57.0368
4,17019,2000,23,-67.4654
4,17019,2000,24,-65.1249
4,17019,2001,16,46.2303
4,17019,2001,17,35.7731
4,17019,2001,18,24.9582
4,17019,2001,19,12.2697
4,17019,2001,20,7.3655
4,17019,2001,21,17.1442
4,17019,2001,22,23.7692
4,17019,2001,23,64.2296
4,17019,2001,24,80.6901
4,17019,2002,16,-20.9697
4,17019,2002,17,21.0831
4,17019,2002,18,35.0342
4,17019,2002,19,60.0377
4,17019,2002,20,61.0665
4,17019,2002,21,64.9552
4,17019,2002,22,68.6172
4,17019,2002,23,97.8696
4,17019,2002,24,91.1601
4,17019,2003,16,-59.9167
4,17019,2003,17,-89.0589
4,17019,2003,18,-91.3878
4,17019,2003,19,-76.3593
4,17019,2003,20,-83.2665
4,17019,2003,21,-103.0598
4,17019,2003,22,-124.1188
4,17019,2003,23,-139.1404
4,17019,2003,24,-146.5759
4,17019,2004,16,78.4153
4,17019,2004,17,40.1151
4,17019,2004,18,8.4132
4,17019,2004,19,-3.4263
4,17019,2004,20,-2.3625
4,17019,2004,21,-25.1208
4,17019,2004,22,-53.3208
4,17019,2004,23,-64.9684
4,17019,2004,24,-94.4419
4,17019,2005,16,74.1053
4,17019,2005,17,52.4101
4,17019,2005,18,89.9162
4,17019,2005,19,74.2287
4,17019,2005,20,78.5205
4,17019,2005,21,91.4822
4,17019,2005,22,95.3652
4,17019,2005,23,108.5696
4,17019,2005,24,134.2601
4,17019,2006,16,33.2433
4,17019,2006,17,28.0641
4,17019,2006,18,11.0892
4,17019,2006,19,-1.6223
4,17019,2006,20,7.7605
4,17019,2006,21,30.7312
4,17019,2006,22,32.4652
4,17019,2006,23,61.3096
4,17019,2006,24,63.2601
4,17019,2007,16,111.5753
4,17019,2007,17,92.8311
4,17019,2007,18,80.7222
4,17019,2007,19,65.4077
4,17019,2007,20,59.5395
4,17019,2007,21,30.1742
4,17019,2007,22,16.5672
4,17019,2007,23,20.0896
4,17019,2007,24,59.8701
4,17019,2008,16,-15.2767
4,17019,2008,17,-40.6329
4,17019,2008,18,-47.2058
4,17019,2008,19,-70.6473
4,17019,2008,20,-68.8805
4,17019,2008,21,-73.0628
4,17019,2008,22,-88.1378
4,17019,2008,23,-92.6124
4,17019,2008,24,-102.8139
4,17019,2009,16,2.3443
4,17019,2009,17,24.2511
4,17019,2009,18,37.4792
4,17019,2009,19,6.9787
4,17019,2009,20,-2.0505
4,17019,2009,21,-43.0948
4,17019,2009,22,-61.9028
4,17019,2009,23,-87.8564
4,17019,2009,24,-87.3209
4,17019,2010,16,56.5903
4,17019,2010,17,56.3291
4,17019,2010,18,48.6872
4,17019,2010,19,53.7037
4,17019,2010,20,80.1335
4,17019,2010,21,74.8652
4,17019,2010,22,99.7302
4,17019,2010,23,104.0096
4,17019,2010,24,121.4501
4,17019,2011,16,45.5993
4,17019,2011,17,26.3461
4,17019,2011,18,9.7522
4,17019,2011,19,16.9707
4,17019,2011,20,30.0245
4,17019,2011,21,42.9512
4,17019,2011,22,92.5822
4,17019,2011,23,106.8196
4,17019,2011,24,116.4501
4,17019,2012,16,108.2603
4,17019,2012,17,115.6631
4,17019,2012,18,115.7042
4,17019,2012,19,137.2047
4,17019,2012,20,164.5365
4,17019,2012,21,172.7242
4,17019,2012,22,189.7232
4,17019,2012,23,196.7696
4,17019,2012,24,216.0301
4,17019,2013,16,21.1243
4,17019,2013,17,10.4301
4,17019,2013,18,3.1772
4,17019,2013,19,-19.4083
4,17019,2013,20,-14.9555
4,17019,2013,21,9.4982
4,17019,2013,22,-25.8618
4,17019,2013,23,-51.8194
4,17019,2013,24,-56.3899
4,17019,2014,16,40.8143
4,17019,2014,17,41.1191
4,17019,2014,18,43.8542
4,17019,2014,19,18.7177
4,17019,2014,20,13.3565
4,17019,2014,21,-23.9938
4,17019,2014,22,-48.0988
4,17019,2014,23,-69.9794
4,17019,2014,24,-80.9469
4,17019,2015,16,72.4103
4,17019,2015,17,55.9471
4,17019,2015,18,33.1352
4,17019,2015,19,0.3167
4,17019,2015,20,-6.9125
4,17019,2015,21,-5.4098
4,17019,2015,22,-4.3588
4,17019,2015,23,-13.5244
4,17019,2015,24,-15.9899
4,17019,2016,16,21.3243
4,17019,2016,17,15.8311
4,17019,2016,18,9.0092
4,17019,2016,19,-16.4793
4,17019,2016,20,-9.2945
4,17019,2016,21,-19.1748
4,17019,2016,22,-9.4918
4,17019,2016,23,-10.0944
4,17019,2016,24,-0.4899
4,17019,2017,16,51.8803
4,17019,2017,17,34.7311
4,17019,2017,18,15.4722
4,17019,2017,19,15.8197
4,17019,2017,20,21.1085
4,17019,2017,21,23.4982
4,17019,2017,22,16.1402
4,17019,2017,23,-0.0224
4,17019,2017,24,-16.0199
4,17019,2018,16,182.2533
4,17019,2018,17,190.0801
4,17019,2018,18,225.8982
4,17019,2018,19,254.1277
4,17019,2018,20,262.4995
4,17019,2018,21,244.8612
4,17019,2018,22,223.9032
4,17019,2018,23,210.8396
4,17019,2018,24,220.1901
5,17031,1994,16,36.8054
5,17031,1994,17,39.2922
5,17031,1994,18,24.6022
5,17031,1994,19,30.1945
5,17031,1994,20,20.5591
5,17031,1994,21,15.1489
5,17031,1994,22,-3.0132
5,17031,1994,23,-12.0574
5,17031,1994,24,-47.2452
5,17031,1995,16,-3.2136
5,17031,1995,17,25.6192
5,17031,1995,18,21.3732
5,17031,1995,19,4.2085
5,17031,1995,20,30.0481
5,17031,1995,21,28.8939
5,17031,1995,22,42.3698
5,17031,1995,23,56.9286
5,17031,1995,24,76.8398
5,17031,1996,16,-54.0366
5,17031,1996,17,-60.9508
